feat_a,feat_b,pearson
return_on_assets,operating_income_to_assets,0.9634
return_on_assets,net_interest_margin,0.9087
operative_score,competitive_advantage_score_w050,0.901
operating_margin,net_margin,0.8956
return_on_equity,net_interest_margin,0.8859
debt_to_assets,net_debt_to_assets,0.8854
asset_turnover,net_interest_margin,0.8811
leverage_score,net_debt_to_assets,-0.8634
capex_intensity,reinvestment_rate,0.8545
investment_score,capital_retention,0.8361
operating_cash_flow_margin,free_cash_flow_margin,0.8182
leverage_score,debt_to_assets,-0.8177
